Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,latitude,longitude,geocode_quality
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1,,7,7,0,5,2,,8,7,1,6,0,,11,10,0,10,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,6,0,6,0,,8,6,1,5,0,,11,7,0,5,2,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,1,6,0,,8,7,1,6,0,,11,11,1,9,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,Acute Care Hospitals,Government - Local,Yes,Y,3,,7,5,0,5,0,,8,5,0,5,0,,11,7,0,7,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,Acute Care Hospitals,Government - Local,Yes,Y,2,,7,6,0,5,1,,8,7,2,4,1,,11,10,0,9,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,1,6,0,,8,8,4,4,0,,11,11,1,7,3,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,(660) 785-1000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,4,0,4,0,,8,3,0,3,0,,11,6,0,6,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260023,MERCY HOSPITAL JEFFERSON,1400 US HIGHWAY 61,CRYSTAL CITY,MO,63019,JEFFERSON,(636) 933-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 SAM HOUSTON BOULEVARD,HOUSTON,MO,65483,TEXAS,(417) 967-3311,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,3,0,2,1,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,8,,38.38516302104519,-93.79275002978282,county_approximate
260025,HANNIBAL REGIONAL HOSPITAL,6000 HOSPITAL DR,HANNIBAL,MO,63401,MARION,(573) 248-1300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,6,0,6,0,,8,4,0,4,0,,11,10,1,9,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260027,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD,KANSAS CITY,MO,64132,JACKSON,(816) 276-4000,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,7,0,7,0,,8,6,2,3,1,,11,10,0,7,3,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
26002F,General Leonard Wood ACH (FT Leonard Wood),4430 Missouri Ave,Fort Leonard Wood,MO,65473,PULASKI,(573) 596-0035,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0,38.38516302104519,-93.79275002978282,county_approximate
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 747-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,7,2,5,0,,8,8,1,7,0,,11,11,0,7,4,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260034,BATES COUNTY MEMORIAL HOSPITAL,615 W NURSERY ST,BUTLER,MO,64730,BATES,(660) 200-7000,Acute Care Hospitals,Government - Local,Yes,,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,7,,38.38516302104519,-93.79275002978282,county_approximate
260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,MO,65807,GREENE,(417) 269-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,0,6,1,,8,8,3,5,0,,11,11,1,8,2,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY,MO,64108,JACKSON,(816) 404-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,3,0,3,0,,8,7,1,5,1,,11,7,0,7,0,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,(816) 861-4700,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,5,2,3,0,,8,4,0,4,0,,11,6,1,5,0,,8,8,,12,5,,38.38516302104519,-93.79275002978282,county_approximate
260050,MOSAIC MEDICAL CENTER - MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,(660) 562-2600,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260052,MERCY HOSPITAL WASHINGTON,901 EAST 5TH STREET,WASHINGTON,MO,63090,FRANKLIN,(636) 239-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,6,0,6,0,,8,5,1,4,0,,11,8,0,8,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON,MO,64429,CLINTON,(816) 632-2101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,3,0,2,1,,8,4,0,4,0,,11,7,1,5,1,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260059,MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,LEBANON,MO,65536,LACLEDE,(417) 533-6100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,16.0,7,2,0,2,0,,8,2,0,2,0,,11,7,2,5,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA,MO,64772,VERNON,(417) 667-3355,Acute Care Hospitals,Government - Local,Yes,,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260062,SAINT LUKES NORTH HOSPITAL,5830 N W BARRY ROAD,KANSAS CITY,MO,64154,PLATTE,(816) 891-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,7,6,0,6,0,,8,7,1,6,0,,11,8,1,7,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260065,MERCY HOSPITAL SPRINGFIELD,2115 S. Fremont Ave,SPRINGFIELD,MO,65804,GREENE,(417) 820-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,7,0,,8,8,2,5,1,,11,11,1,10,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,COLUMBIA,MO,65201,BOONE,(573) 815-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,7,0,7,0,,8,8,1,7,0,,11,11,2,9,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,946 EAST REED,HAYTI,MO,63851,PEMISCOT,(573) 359-1372,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16.0,7,2,0,2,0,,8,1,0,1,0,,11,4,0,3,1,,8,Not Available,5.0,12,4,,38.38516302104519,-93.79275002978282,county_approximate
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,MOBERLY,MO,65270,RANDOLPH,(660) 263-8400,Acute Care Hospitals,Proprietary,Yes,,2,,7,3,0,2,1,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260077,MERCY HOSPITAL SOUTH,10010 KENNERLY ROAD,SAINT LOUIS,MO,63128,ST. LOUIS,(314) 525-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,7,0,7,0,,8,7,2,5,0,,11,11,1,9,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260078,OZARKS HEALTHCARE,1100 KENTUCKY AVE,WEST PLAINS,MO,65775,HOWELL,(417) 256-9111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,6,0,6,0,,8,3,1,1,1,,11,9,0,9,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
26007F,POPLAR BLUFF VA MEDICAL CENTER,1500 N. WESTWOOD BLVD.,POPLAR BLUFF,MO,63901,BUTLER,(573) 686-4151,Acute Care - Veterans Administration,Veterans Health Administration,No,,Not Available,16.0,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,4,0,4,0,,8,Not Available,5.0,12,2,,38.38516302104519,-93.79275002978282,county_approximate
260081,SSM ST CLARE HEALTH CENTER,1015 BOWLES,FENTON,MO,63026,JEFFERSON,(636) 496-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260085,ST JOSEPH MEDICAL CENTER,1000 CARONDELET DR,KANSAS CITY,MO,64114,JACKSON,(816) 942-4400,Acute Care Hospitals,Proprietary,Yes,,3,,7,7,0,7,0,,8,7,0,7,0,,11,9,0,8,1,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD,SAINT LOUIS,MO,63117,ST. LOUIS,(314) 768-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,6,0,6,0,,8,8,3,5,0,,11,10,0,8,2,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260094,COX MEDICAL CENTER BRANSON,"525 BRANSON LANDING BLVD, PO BOX 650",BRANSON,MO,65615,TANEY,(417) 335-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,6,0,6,0,,8,5,1,4,0,,11,9,0,9,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260095,CENTERPOINT MEDICAL CENTER,19600 EAST 39TH STREET,INDEPENDENCE,MO,64057,JACKSON,(816) 698-7000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,10,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,(816) 691-2000,Acute Care Hospitals,Government - Local,Yes,Y,4,,7,7,0,7,0,,8,8,1,7,0,,11,9,2,7,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG,MO,64093,JOHNSON,(660) 747-2500,Acute Care Hospitals,Government - Local,Yes,Y,3,,7,3,0,3,0,,8,3,0,3,0,,11,9,0,9,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
26009F,ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,915 NORTH GRAND,ST. LOUIS,MO,63106,ST. LOUIS,(314) 652-4100,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,5,3,2,0,,8,3,0,3,0,,11,5,2,3,0,,8,8,,12,6,,38.38516302104519,-93.79275002978282,county_approximate
260102,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,7900 LEE'S SUMMIT RD,KANSAS CITY,MO,64139,JACKSON,(816) 404-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,3,1,2,0,,11,5,0,5,0,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260104,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,12303 DEPAUL DRIVE,BRIDGETON,MO,63044,ST. LOUIS,(314) 344-6000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,7,7,1,6,0,,8,8,3,5,0,,11,11,1,10,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260105,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 577-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,1,,7,7,0,7,0,,8,6,2,4,0,,11,10,0,8,2,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,SAINT LOUIS,MO,63131,ST. LOUIS,(314) 996-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,2,5,0,,8,8,3,5,0,,11,11,0,10,1,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260110,MERCY HOSPITAL SOUTHEAST,1701 LACEY ST,CAPE GIRARDEAU,MO,63701,CAPE GIRARDEAU,(573) 334-4822,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,6,1,,8,7,1,6,0,,11,11,0,10,1,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260113,MISSOURI DELTA MEDICAL CENTER,1008 NORTH MAIN ST,SIKESTON,MO,63801,SCOTT,(573) 472-7586,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,4,0,4,0,,8,3,0,3,0,,11,8,1,7,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260119,POPLAR BLUFF REGIONAL MEDICAL CENTER,3100 OAK GROVE ROAD,POPLAR BLUFF,MO,63901,BUTLER,(573) 785-7721,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,6,0,4,2,,8,6,1,5,0,,11,9,0,9,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,1102 WEST 32ND STREET,JOPLIN,MO,64804,JASPER,(417) 347-1111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,6,1,,8,8,0,8,0,,11,11,1,10,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260138,ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,MO,64111,JACKSON,(816) 932-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,1,6,0,,8,8,1,7,0,,11,11,1,10,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260141,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,(573) 882-4141,Acute Care Hospitals,Government - State,Yes,Y,3,,7,7,0,7,0,,8,8,3,5,0,,11,11,0,11,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260142,FITZGIBBON HOSPITAL,2305 S 65 HIGHWAY,MARSHALL,MO,65340,SALINE,(660) 886-7431,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,3,0,3,0,,8,2,0,2,0,,11,9,0,9,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260160,MERCY HOSPITAL STODDARD,1200 N ONE MILE RD,DEXTER,MO,63841,STODDARD,(573) 624-5566,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,7,0,7,0,,8,Not Available,5.0,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260162,BARNES-JEWISH WEST COUNTY HOSPITAL,12634 OLIVE BOULEVARD,CREVE COEUR,MO,63141,ST. LOUIS,(314) 996-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,7,2,0,2,0,,8,6,1,5,0,,11,6,1,5,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260163,PARKLAND HEALTH CENTER,1101 W LIBERTY,FARMINGTON,MO,63640,ST. FRANCOIS,(573) 431-6005,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,4,0,4,0,,8,4,0,4,0,,11,8,1,7,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,CLINTON,MO,64735,HENRY,(660) 885-5511,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,7,3,0,3,0,,8,3,0,3,0,,11,9,0,9,0,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260176,ST LUKE'S DES PERES HOSPITAL,2345 DOUGHERTY FERRY ROAD,ST LOUIS,MO,63122,ST. LOUIS,(314) 966-9100,Acute Care Hospitals,Proprietary,Yes,,3,,7,2,0,2,0,,8,3,1,2,0,,11,6,0,5,1,,8,8,,12,8,,38.38516302104519,-93.79275002978282,county_approximate
260177,LIBERTY HOSPITAL,2525 GLENN HENDREN DR,LIBERTY,MO,64068,CLAY,(816) 781-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,7,0,7,0,,8,8,,12,5,,38.38516302104519,-93.79275002978282,county_approximate
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,MO,63017,ST. LOUIS,(314) 434-1500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,1,6,0,,8,8,3,5,0,,11,11,0,7,4,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260180,CHRISTIAN HOSPITAL NORTHEAST,11133 DUNN ROAD,SAINT LOUIS,MO,63136,ST. LOUIS,(314) 653-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,7,7,0,7,0,,8,7,1,5,1,,11,9,0,7,2,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260183,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,(573) 331-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,5,2,,8,7,1,6,0,,11,11,2,8,1,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260186,LAKE REGIONAL HEALTH SYSTEM,54 HOSPITAL DRIVE,OSAGE BEACH,MO,65065,CAMDEN,(573) 348-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,6,0,5,1,,8,5,1,4,0,,11,10,1,8,1,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,LEES SUMMIT,MO,64063,JACKSON,(816) 282-5000,Acute Care Hospitals,Proprietary,Yes,,3,,7,6,0,6,0,,8,7,1,6,0,,11,9,0,9,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260191,BARNES-JEWISH ST PETERS HOSPITAL,10 HOSPITAL DR,SAINT PETERS,MO,63376,ST. CHARLES,(636) 916-9000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,4,,7,6,0,6,0,,8,7,3,4,0,,11,10,1,9,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260193,ST MARY'S MEDICAL CENTER,201 NW R D MIZE RD,BLUE SPRINGS,MO,64014,JACKSON,(816) 228-5900,Acute Care Hospitals,Proprietary,Yes,,3,,7,5,1,4,0,,8,3,0,3,0,,11,7,0,6,1,,8,8,,12,9,,38.38516302104519,-93.79275002978282,county_approximate
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,BOLIVAR,MO,65613,POLK,(417) 326-6000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,7,4,0,4,0,,8,5,0,5,0,,11,8,1,7,0,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUIS,MO,63367,ST. CHARLES,(636) 625-5200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,7,0,6,1,,8,8,,12,11,,38.38516302104519,-93.79275002978282,county_approximate
260214,BELTON REGIONAL MEDICAL CENTER,17065 S 71 HIGHWAY,BELTON,MO,64012,CASS,(816) 348-1200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,4,0,4,0,,8,4,1,3,0,,11,9,0,9,0,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
260216,SAINT LUKE'S EAST  HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,64086,JACKSON,(816) 347-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,6,1,5,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,12,,38.38516302104519,-93.79275002978282,county_approximate
260219,PROGRESS WEST HOSPITAL,2 PROGRESS POINT PKWY,OFALLON,MO,63368,ST. CHARLES,(636) 344-2273,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,5,0,5,0,,8,3,0,3,0,,11,7,0,6,1,,8,8,,12,10,,38.38516302104519,-93.79275002978282,county_approximate
26023F,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,COLUMBIA,MO,65201,BOONE,(573) 814-6000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,4,,7,5,0,5,0,,8,4,0,4,0,,11,6,0,5,1,,8,8,,12,4,,38.38516302104519,-93.79275002978282,county_approximate
